#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
17901A;COMBANI;Bureau de Poste;;LE BOURG;;;97680;TSINGONI;97617;FRANCE;-12.7925;45.1292;Géocodé au numéro;3631;-12.7925, 45.1292
18682B;SAN GIULIANO APC AP;Agence postale communale;03461A;;LES TERRASSES D'ALISTRO;LIEU DIT ALISTRO;20230;SAN GIULIANO;2B313;FRANCE;42.26196;9.547408;Géocodé au numéro;3631;42.26196, 9.547408
19780B;BOURDONNAY RP;Relais poste commerçant;10336A;20 GRAND RUE;BOULANGERIE PATISSERIE KREBS;;57810;BOURDONNAY;57099;FRANCE;48.720631;6.728679;Géocodé au numéro;3631;48.720631, 6.728679
20192B;LE CAPPUCCINO RP;Relais poste commerçant;14784A;2 RUE DE LA CROIX BLANCHE;LE CAPPUCCINO;;77370;MAISON ROUGE;77272;FRANCE;48.559026;3.14944;Géocodé au numéro;3631;48.559026, 3.14944
49888A;AUBIGNY LES POTHEES AP;Agence postale communale;01251A;8  RUE DU MOULIN;;;08150;AUBIGNY LES POTHEES;08026;FRANCE;49.775894;4.436099;Géocodé au centre de la commune;3631;49.775894, 4.436099
50379A;COLMERY AP;Agence postale communale;10577A;LE BOURG;;;58350;COLMERY;58081;FRANCE;47.347292;3.250499;Géocodé au centre de la commune;3631;47.347292, 3.250499
50750A;CRE RP;Relais poste commerçant;13689A;8 PLACE SAINT MARTIN;SPAR VIVAL  MME VINCENT;;72200;CRE;72108;FRANCE;47.677069;-0.157647;Géocodé au numéro;3631;47.677069, -0.157647
50969A;STE GENEVIEVE LE PETIT SOLEIL BP;Bureau de Poste;;PLACE GEORGES DIMITROV;QUARTIER DES AUNETTES;;91700;STE GENEVIEVE DES BOIS;91549;FRANCE;48.641795;2.344528;Géocodé au numéro;3631;48.641795, 2.344528
51397A;ST LAGER RP;Relais poste commerçant;12938A;460 ROUTE DE BROUILLY;TABAC JANIN;;69220;ST LAGER;69218;FRANCE;46.113208;4.67303;Géocodé au numéro;3631;46.113208, 4.67303
51402A;LA LOYE RP;Relais poste commerçant;07485A;41 RUE DU VAL D AMOUR;BOULANGERIE BROCHET JM;;39380;LA LOYE;39305;FRANCE;47.027409;5.555155;Géocodé au numéro;3631;47.027409, 5.555155
54255A;LETRA AP;Agence postale communale;13014A;LE BOURG;;;69620;LETRA;69113;FRANCE;45.961798;4.523928;Géocodé au centre de la commune;3631;45.961798, 4.523928
55503A;GLERE RP;Relais poste commerçant;04412A;AU BOURG;SUPERETTE MAGASIN VIVAL;;25190;GLERE;25275;FRANCE;47.344199;6.994389;Géocodé au centre de la commune;3631;47.344199, 6.994389
55520A;SCHOELCHER TERREVILLE AP;Agence postale communale;17748A;;CENTRE COMMERCIAL LA FONTAINE;TERREVILLE;97233;SCHOELCHER;97229;FRANCE;14.64042;-61.099582;Géocodé au numéro;3631;14.64042, -61.099582
55802A;SAINT JEAN DE CHEVELU RP;Relais poste commerçant;13910A;PLACE SENATEUR MOLLARD;TABAC MME GARDEISEN ISABELLE;;73170;ST JEAN DE CHEVELU;73245;FRANCE;45.690153;5.819497;Géocodé au numéro;3631;45.690153, 5.819497
55805A;BAGNEUX CHATEAUBRIANT BP;Bureau de Poste;;32 AVENUE HENRI BARBUSSE;;;92220;BAGNEUX;92007;FRANCE;48.801796;2.316279;Géocodé au numéro;3631;48.801796, 2.316279
57136A;CAEN BEAULIEU RP;Relais poste commerçant;02237A;7 RUE DE KASKOREFF;SUPER U;;14000;CAEN;14118;FRANCE;49.182694;-0.401415;Géocodé au numéro;3631;49.182694, -0.401415
57559A;VERSAILLES CLEMENCEAU;Bureau de Poste;;30 AVENUE DE SAINT CLOUD;;;78000;VERSAILLES;78646;FRANCE;48.804697;2.132698;Géocodé au numéro;3631;48.804697, 2.132698
17830A;HELL BOURG BP;Bureau de Poste;;50 RUE DU GENERAL DE GAULLE;;HELL BOURG;97433;SALAZIE;97421;FRANCE;-21.065783;55.519033;Géocodé au numéro;3631;-21.065783, 55.519033
17837A;STE ANNE BP;Bureau de Poste;;165 ROUTE NATIONALE 2;;;97437;STE ANNE;97410;FRANCE;-21.08091;55.745806;Géocodé au numéro;3631;-21.08091, 55.745806
17845A;LA RIVIERE DES GALETS BP;Bureau de Poste;;13 RUE DE LA LIBERTE;;RIVIERE DES GALETS;97419;LA POSSESSION;97408;FRANCE;-20.964555;55.320936;Géocodé au numéro;3631;-20.964555, 55.320936
17852A;ST DENIS CAMELIAS;Bureau de Poste;;4 AVENUE DES COCOTIERS;;;97400;ST DENIS;97411;FRANCE;-20.89343147;55.461586118;Géocodé au numéro;3631;-20.89343147, 55.461586118
17855A;SAINT DENIS CHAUDRON BP;Bureau de Poste;;3 RUE ROGER PAYET;;LE CHAUDRON;97490;STE CLOTILDE;97411;FRANCE;-20.892847;55.488292;Géocodé au numéro;3631;-20.892847, 55.488292
17867A;PONT D YVES AP;Agence postale communale;17810A;20 CHEMIN DES LONGOSES;;PONT D YVES;97430;LE TAMPON;97422;FRANCE;-21.235114;55.506662;Géocodé au numéro;3631;-21.235114, 55.506662
51396A;ST MARTIN DE BELLEVUE RP;Relais poste commerçant;14073A;147 ROUTE DES DIACQUENODS;;;74370;ST MARTIN BELLEVUE;74245;FRANCE;45.966401;6.132492;Géocodé au numéro;3631;45.966401, 6.132492
57891A;MEUSSIA AP;Agence postale communale;07402A;1 RUE DE L INDUSTRIE;;;39260;MEUSSIA;39328;FRANCE;46.498496;5.724657;Géocodé au milieu de la rue;3631;46.498496, 5.724657
05376A;UZES;Bureau de Poste;;AVENUE DE LA LIBERATION;;;30700;UZES;30334;FRANCE;44.011832;4.416377;Géocodé au numéro;3631;44.011832, 4.416377
05379A;VALLERAUGUE BP;Bureau de Poste;;PLACE DE L ELYSEE;;;30570;VALLERAUGUE;30339;FRANCE;44.080294;3.641328;Géocodé au numéro;3631;44.080294, 3.641328
05429A;AUTERIVE;Bureau de Poste;;PLACE LEONIE TOULOUSE;;;31190;AUTERIVE;31033;FRANCE;43.350083;1.477303;Géocodé au numéro;3631;43.350083, 1.477303
05431A;AVIGNONET LAURAGAIS BP;Bureau de Poste;;1 PLACE DE LA REPUBLIQUE;;;31290;AVIGNONET LAURAGAIS;31037;FRANCE;43.367197;1.784438;Géocodé au milieu de la rue;3631;43.367197, 1.784438
05434A;BARBAZAN BP;Bureau de Poste;;LE BOURG;;;31510;BARBAZAN;31045;FRANCE;43.033093;0.62431;Géocodé au centre de la commune;3631;43.033093, 0.62431
05442A;BOULOC BP;Bureau de Poste;;3 PLACE DE LA REPUBLIQUE;;;31620;BOULOC;31079;FRANCE;43.779598;1.404942;Géocodé au numéro;3631;43.779598, 1.404942
05443A;BOULOGNE SUR GESSE BP;Bureau de Poste;;BOULEVARD DU MIDI;;;31350;BOULOGNE SUR GESSE;31080;FRANCE;43.29016;0.647026;Géocodé au numéro;3631;43.29016, 0.647026
05446A;BRUGUIERES BP;Bureau de Poste;;PLACE DE LA REPUBLIQUE;;;31150;BRUGUIERES;31091;FRANCE;43.726927;1.4122;Géocodé au numéro;3631;43.726927, 1.4122
05447A;TOULOUSE LES CARMES BP;Bureau de Poste;;32 RUE DU LANGUEDOC;;;31000;TOULOUSE;31555;FRANCE;43.596795;1.445549;Géocodé au numéro;3631;43.596795, 1.445549
05459A;TOULOUSE LES AUGUSTINS BP;Bureau de Poste;;34 RUE DE METZ;;;31000;TOULOUSE;31555;FRANCE;43.600499;1.446778;Géocodé au numéro;3631;43.600499, 1.446778
05460A;CASTELGINEST;Bureau de Poste;;RUE MALCONSEIL;;;31780;CASTELGINEST;31116;FRANCE;43.695571;1.43019;Géocodé au numéro;3631;43.695571, 1.43019
05463A;GALIE AP;Agence postale communale;05545A;RUE DES TREIZE PONTS;GRANGE DE SOST;;31510;GALIE;31207;FRANCE;42.990996;0.632781;Géocodé au centre de la commune;3631;42.990996, 0.632781
05472A;CIADOUX AP;Agence postale communale;05548A;;;;31350;CIADOUX;31141;FRANCE;43.258894;0.737038;Géocodé au centre de la commune;3631;43.258894, 0.737038
05474A;CINTEGABELLE BP;Bureau de Poste;;RUE D OCCITANIE;;;31550;CINTEGABELLE;31145;FRANCE;43.313557;1.531151;Géocodé au numéro;3631;43.313557, 1.531151
05476A;COLOMIERS PLEIN CENTRE;Bureau de Poste;;PLACE DU LANGUEDOC;;;31770;COLOMIERS;31149;FRANCE;43.609991;1.329962;Géocodé au numéro;3631;43.609991, 1.329962
05481A;DREMIL LAFAGE BP;Bureau de Poste;;7 ALLEE DE L EGLISE;;;31280;DREMIL LAFAGE;31163;FRANCE;43.596944;1.601601;Géocodé au numéro;3631;43.596944, 1.601601
05510A;LACROIX FALGARDE AP;Agence postale communale;05560A;CENTRE CIAL VERTE CAMPAGNE;;;31120;LACROIX FALGARDE;31259;FRANCE;43.505045;1.41148;Géocodé au numéro;3631;43.505045, 1.41148
05512A;LANTA BP;Bureau de Poste;;1 RUE CROUZELYS;;;31570;LANTA;31271;FRANCE;43.561099;1.656309;Géocodé au centre de la commune;3631;43.561099, 1.656309
05515A;LAVALETTE AP;Agence postale communale;05461A;VILLAGE;;;31590;LAVALETTE;31285;FRANCE;43.638194;1.597839;Géocodé au centre de la commune;3631;43.638194, 1.597839
05521A;LHERM BP;Bureau de Poste;;39 PLACE DE L EGLISE;;;31600;LHERM;31299;FRANCE;43.429095;1.222897;Géocodé au numéro;3631;43.429095, 1.222897
05532A;MIREMONT BP;Bureau de Poste;;7 RUE DE LA POSTE;;;31190;MIREMONT;31345;FRANCE;43.369697;1.415945;Géocodé au milieu de la rue;3631;43.369697, 1.415945
05538A;MONTBERON BP;Bureau de Poste;;3 RUE DE LA POSTE;;;31140;MONTBERON;31364;FRANCE;43.717298;1.481006;Géocodé au numéro;3631;43.717298, 1.481006
05546A;MURET;Bureau de Poste;;19 AVENUE PIERRE II D ARAGON;;;31600;MURET;31395;FRANCE;43.463699;1.325158;Géocodé au numéro;3631;43.463699, 1.325158
05548A;NOE;Bureau de Poste;;5 ESPLANADE ABOLIN;;;31410;NOE;31399;FRANCE;43.354683;1.274741;Géocodé au numéro;3631;43.354683, 1.274741
05549A;ONDES BP;Bureau de Poste;;LE BOURG;;;31330;ONDES;31403;FRANCE;43.781994;1.30812;Géocodé au centre de la commune;3631;43.781994, 1.30812
05560A;PORTET SUR GARONNE;Bureau de Poste;;RUE DE LA POSTE;;;31120;PORTET SUR GARONNE;31433;FRANCE;43.520891;1.40217;Géocodé au numéro;3631;43.520891, 1.40217
05561A;QUINT FONSEGRIVES BP;Bureau de Poste;;5 COURS GOUDOULI;;;31130;QUINT FONSEGRIVES;31445;FRANCE;43.586492;1.533628;Géocodé au numéro;3631;43.586492, 1.533628
05563A;REVEL;Bureau de Poste;;SQUARE DU 11 NOVEMBRE 1918;;;31250;REVEL;31451;FRANCE;43.458202;2.001828;Géocodé au numéro;3631;43.458202, 2.001828
05570A;SAINT ALBAN BP;Bureau de Poste;;PLACE DU 19 MARS 1962;;;31140;ST ALBAN;31467;FRANCE;43.693013;1.413519;Géocodé au numéro;3631;43.693013, 1.413519
05573A;SAINT CLAR DE RIVIERE AP;Agence postale communale;05546A;LE BOURG;;;31600;ST CLAR DE RIVIERE;31475;FRANCE;43.466793;1.216289;Géocodé au centre de la commune;3631;43.466793, 1.216289
05575A;SAINT FELIX LAURAGAIS BP;Bureau de Poste;;RUE DEODAT DE SEVERAC;;;31540;ST FELIX LAURAGAIS;31478;FRANCE;43.449199;1.886411;Géocodé au milieu de la rue;3631;43.449199, 1.886411
05581A;SAINT JULIA AP;Agence postale communale;05563A;PLACE DU 11 NOVEMBRE 1918;;;31540;ST JULIA;31491;FRANCE;43.489892;1.897563;Géocodé au milieu d un îlot;3631;43.489892, 1.897563
05582A;SAINT JULIEN AP;Agence postale communale;05471A;RUE GASTON PHOEBUS;;;31220;ST JULIEN;31492;FRANCE;43.242998;1.15187;Géocodé au centre de la commune;3631;43.242998, 1.15187
05586A;SAINT ORENS DE GAMEVILLE;Bureau de Poste;;PLACE DE LA POSTE;;;31650;ST ORENS DE GAMEVILLE;31506;FRANCE;43.554692;1.532419;Géocodé au numéro;3631;43.554692, 1.532419
05597A;TOURNEFEUILLE;Bureau de Poste;;PLACE DE LA MAIRIE;;;31170;TOURNEFEUILLE;31557;FRANCE;43.582895;1.346057;Géocodé au numéro;3631;43.582895, 1.346057
05607A;VILLENEUVE DE RIVIERE BP;Bureau de Poste;;PLACE DE LA MAIRIE;;;31800;VILLENEUVE DE RIVIERE;31585;FRANCE;43.122313;0.665083;Géocodé au numéro;3631;43.122313, 0.665083
05611A;MURET LE BARRY BP;Bureau de Poste;;CENTRE COMMERCIAL LE BARRY;;;31600;MURET;31395;FRANCE;43.456097;1.329179;Géocodé au numéro;3631;43.456097, 1.329179
05616A;TOULOUSE LES IZARDS BP;Bureau de Poste;;15 CHEMIN DES IZARDS;;;31200;TOULOUSE;31555;FRANCE;43.638094;1.443988;Géocodé au numéro;3631;43.638094, 1.443988
05622A;TOULOUSE ARNAUD BERNARD;Bureau de Poste;;17 BOULEVARD LASCROSSES;;;31000;TOULOUSE;31555;FRANCE;43.610795;1.436448;Géocodé au numéro;3631;43.610795, 1.436448
04261A;SAINT RABIER RP;Relais poste commerçant;04279A;LE BOURG;SNC FAMILLOT;;24210;ST RABIER;24491;FRANCE;45.168588;1.154547;Géocodé au numéro;3631;45.168588, 1.154547
04265A;SAINT SULPICE D EXCIDEUIL AP;Agence postale communale;04281A;LE BOURG;;;24800;ST SULPICE D EXCIDEUIL;24505;FRANCE;45.388992;1.006842;Géocodé au centre de la commune;3631;45.388992, 1.006842
04269A;SARLANDE AP;Agence postale communale;04281A;;;;24270;SARLANDE;24519;FRANCE;45.450795;1.115355;Géocodé au centre de la commune;3631;45.450795, 1.115355
04270A;SARLAT LA CANEDA;Bureau de Poste;;PLACE DU 14 JUILLET;;;24200;SARLAT LA CANEDA;24520;FRANCE;44.887124;1.216474;Géocodé au numéro;3631;44.887124, 1.216474
04277A;SIORAC EN PERIGORD AP;Agence postale communale;04230A;LIEU DIT LE BOURG;;;24170;SIORAC EN PERIGORD;24538;FRANCE;44.82038;0.986794;Géocodé au numéro;3631;44.82038, 0.986794
04281A;THIVIERS;Bureau de Poste;;PLACE DE LA REPUBLIQUE;;;24800;THIVIERS;24551;FRANCE;45.416033;0.919498;Géocodé au numéro;3631;45.416033, 0.919498
04291A;VERTEILLAC BP;Bureau de Poste;;PLACE DU CHAMP  DE  FOIRE;;;24320;VERTEILLAC;24573;FRANCE;45.347133;0.367401;Géocodé au numéro;3631;45.347133, 0.367401
04293A;VILLARS AP;Agence postale communale;04199A;LE BOURG;;;24530;VILLARS;24582;FRANCE;45.420291;0.751873;Géocodé au centre de la commune;3631;45.420291, 0.751873
04297A;BERGERAC VALETTE BP;Bureau de Poste;;RUE DIDIER DAURAT;;;24100;BERGERAC;24037;FRANCE;44.858295;0.473326;Géocodé au numéro;3631;44.858295, 0.473326
04298A;TRELISSAC FEUILLERAIE RP;Relais poste commerçant;04285A;;CENTRE COMMERCIAL LA FEUILLERAIE;;24750;TRELISSAC;24557;FRANCE;45.211199;0.793239;Géocodé au centre de la commune;3631;45.211199, 0.793239
04321A;AVOUDREY AP;Agence postale communale;04450A;MAIRIE;;;25690;AVOUDREY;25039;FRANCE;47.13812;6.43459;Géocodé au centre de la commune;3631;47.13812, 6.43459
04327A;BAVANS BP;Bureau de Poste;;28 GRANDE RUE;;;25550;BAVANS;25048;FRANCE;47.480697;6.735969;Géocodé au numéro;3631;47.480697, 6.735969
04330A;BESANCON DEMANGEL BP;Bureau de Poste;;4 RUE ROBERT DEMANGEL;;;25000;BESANCON;25056;FRANCE;47.243998;6.009595;Géocodé au numéro;3631;47.243998, 6.009595
04331A;BETHONCOURT VILLAGE RP;Relais poste commerçant;04406A;9 RUE D HERICOURT;;;25200;BETHONCOURT;25057;FRANCE;47.53083;6.79049;Géocodé au numéro;3631;47.53083, 6.79049
04332A;BEURE BP;Bureau de Poste;;45 RUE DE BESANCON;;;25720;BEURE;25058;FRANCE;47.207425;6.004271;Géocodé au numéro;3631;47.207425, 6.004271
04335A;BONNETAGE RP;Relais poste commerçant;04412A;4 ROUTE DE BESANCON;;;25210;BONNETAGE;25074;FRANCE;47.186016;6.720039;Géocodé au numéro;3631;47.186016, 6.720039
04336A;BOUCLANS BP;Bureau de Poste;;1 PLACE DE LA POSTE;;;25360;BOUCLANS;25078;FRANCE;47.246222;6.236511;Géocodé au numéro;3631;47.246222, 6.236511
04342A;CENDREY AP;Agence postale communale;04360A;28 GRANDE RUE;;;25640;CENDREY;25107;FRANCE;47.405592;6.243338;Géocodé au milieu de la rue;3631;47.405592, 6.243338
04346A;CHAUX NEUVE RP;Relais poste commerçant;04423A;1 GRANDE RUE;CHEZ CHANTAL TABAC PRESSE SOUVENIRS;;25240;CHAUX NEUVE;25142;FRANCE;46.679535;6.133575;Géocodé au numéro;3631;46.679535, 6.133575
04350A;COLOMBIER FONTAINE BP;Bureau de Poste;;6 BIS RUE DE LA CHAISERIE;;;25260;COLOMBIER FONTAINE;25159;FRANCE;47.452581;6.689964;Géocodé au numéro;3631;47.452581, 6.689964
04352A;CUSSEY SUR L OGNON RP;Relais poste commerçant;04360A;2 RUE DU VILLAGE;;;25870;CUSSEY SUR L OGNON;25186;FRANCE;47.339737;5.938207;Géocodé au numéro;3631;47.339737, 5.938207
04353A;DAMBELIN AP;Agence postale communale;04406A;1PLACE DU CENTRE;AGENCE POSTALE;MAIRIE;25150;DAMBELIN;25187;FRANCE;47.374493;6.675103;Géocodé au centre de la commune;3631;47.374493, 6.675103
04398A;MAMIROLLE BP;Bureau de Poste;;17 GRANDE RUE;;;25620;MAMIROLLE;25364;FRANCE;47.197082;6.161775;Géocodé au numéro;3631;47.197082, 6.161775
04405A;MONCEY BONNAY AP;Agence postale communale;04360A;;MAIRIE;;25870;MONCEY;25382;FRANCE;47.362894;6.118493;Géocodé au milieu de la rue;3631;47.362894, 6.118493
04412A;MORTEAU;Bureau de Poste;;27 GRANDE RUE;;;25500;MORTEAU;25411;FRANCE;47.057353;6.604247;Géocodé au numéro;3631;47.057353, 6.604247
04414A;MOUTHIER HAUTE PIERRE RP;Relais poste commerçant;04450A;16 ROUTE DES GORGES DE NOAILLES;LA PETITE EPICERIE;;25920;MOUTHIER HAUTE PIERRE;25415;FRANCE;47.038974;6.276376;Géocodé au numéro;3631;47.038974, 6.276376
04418A;ORCHAMPS VENNES BP;Bureau de Poste;;29 GRANDE RUE;;;25390;ORCHAMPS VENNES;25432;FRANCE;47.131357;6.526221;Géocodé au numéro;3631;47.131357, 6.526221
04421A;OYE ET PALLET RP;Relais poste commerçant;04423A;1 RUE DES ECOLES;EPICERIE IRIS;;25160;OYE ET PALLET;25442;FRANCE;46.855708;6.336131;Géocodé au numéro;3631;46.855708, 6.336131
04426A;QUINGEY BP;Bureau de Poste;;PLACE DES RIVES DE LA LOUE;;;25440;QUINGEY;25475;FRANCE;47.101791;5.883049;Géocodé au numéro;3631;47.101791, 5.883049
04431A;ROCHES LES BLAMONT AP;Agence postale communale;04319A;17 TER RUE GEORGES CUVIER;MAIRIE;;25310;ROCHES LES BLAMONT;25497;FRANCE;47.40995;6.84997;Géocodé au numéro;3631;47.40995, 6.84997
04434A;LE RUSSEY BP;Bureau de Poste;;17 AV DU MAL DE LATTRE DE TASSIGNY;;;25210;LE RUSSEY;25512;FRANCE;47.161967;6.727886;Géocodé au numéro;3631;47.161967, 6.727886
04435A;SAINT GORGON MAIN AP;Agence postale communale;04423A;LE BOURG;;;25520;ST GORGON MAIN;25517;FRANCE;47.023092;6.322657;Géocodé au centre de la commune;3631;47.023092, 6.322657
04437A;SAINTE MARIE RP;Relais poste commerçant;04406A;16 GRANDE RUE;EPICERIE LA VALLEE DU RUPT;;25113;STE MARIE;25523;FRANCE;47.507813;6.696432;Géocodé au numéro;3631;47.507813, 6.696432
04444A;SOMBACOUR AP;Agence postale communale;04423A;9 RUE DE LA POSTE;;;25520;SOMBACOUR;25549;FRANCE;46.952293;6.255689;Géocodé au milieu de la rue;3631;46.952293, 6.255689
04447A;TREPOT AP;Agence postale communale;04450A;3 PLACE DE LA MAIRIE;MAIRIE;;25620;TREPOT;25569;FRANCE;47.166292;6.148946;Géocodé au centre de la commune;3631;47.166292, 6.148946
04449A;UZELLE RP;Relais poste commerçant;04360A;;;;25340;UZELLE;25574;FRANCE;47.4666;6.43649;Géocodé au centre de la commune;3631;47.4666, 6.43649
04467A;BESANCON JUSTICES BP;Bureau de Poste;;5 RUE DES JUSTICES;;;25000;BESANCON;25056;FRANCE;47.253693;6.014506;Géocodé au numéro;3631;47.253693, 6.014506
04490A;BEAUFORT SUR GERVANNE AP;Agence postale communale;04529A;ROUTE DE SUZE;LE VILLAGE;;26400;BEAUFORT SUR GERVANNE;26035;FRANCE;44.777297;5.142028;Géocodé au centre de la commune;3631;44.777297, 5.142028
04491A;BEAUMONT LES VALENCE BP;Bureau de Poste;;2 RUE DU 11 NOVEMBRE 1918;;;26760;BEAUMONT LES VALENCE;26037;FRANCE;44.859995;4.937227;Géocodé au numéro;3631;44.859995, 4.937227
04494A;BEAUSEMBLANT RP;Relais poste commerçant;01145A;505 RUE BARTHELEMY DE LAFFEMAS;WILHELM CHRISTOPHE;;26240;BEAUSEMBLANT;26041;FRANCE;45.217447;4.831257;Géocodé au numéro;3631;45.217447, 4.831257
04501A;BOURG LES VALENCE BP;Bureau de Poste;;PLACE DES RENCONTRES;;;26500;BOURG LES VALENCE;26058;FRANCE;44.946898;4.893855;Géocodé au numéro;3631;44.946898, 4.893855
04507A;CHAMARET AP;Agence postale communale;04587A;PLACE DE LA POSTE;;;26230;CHAMARET;26070;FRANCE;44.396795;4.882207;Géocodé au centre de la commune;3631;44.396795, 4.882207
04512A;CHARMES SUR L HERBASSE AP;Agence postale communale;04605A;60 PLACE DU CHAMP DE MARS;;;26260;CHARMES SUR L HERBASSE;26077;FRANCE;45.14841;5.015826;Géocodé au numéro;3631;45.14841, 5.015826
04513A;CHARPEY BP;Bureau de Poste;;RUE DES FOSSES;;;26300;CHARPEY;26079;FRANCE;44.938288;5.091716;Géocodé au numéro;3631;44.938288, 5.091716
04518A;CHATILLON ST JEAN BP;Bureau de Poste;;RUE DES BOULANGERIES;LE VILLAGE;;26750;CHATILLON ST JEAN;26087;FRANCE;45.087196;5.131143;Géocodé au centre de la commune;3631;45.087196, 5.131143
04519A;CHATUZANGE LE GOUBET BP;Bureau de Poste;;33 RUE DES MONTS DU MATIN;;;26300;CHATUZANGE LE GOUBET;26088;FRANCE;45.006392;5.090693;Géocodé au numéro;3631;45.006392, 5.090693
04522A;CLEON D ANDRAN BP;Bureau de Poste;;BOULEVARD DE PROVENCE;;;26450;CLEON D ANDRAN;26095;FRANCE;44.6113;4.934978;Géocodé au milieu de la rue;3631;44.6113, 4.934978
04531A;DIE BP;Bureau de Poste;;1 RUE NOTRE DAME;;;26150;DIE;26113;FRANCE;44.756993;5.368559;Géocodé au centre de la commune;3631;44.756993, 5.368559
04535A;EROME BP;Bureau de Poste;;ROUTE NATIONALE 7;RESIDENCE ESPACE AZUR;;26600;EROME;26119;FRANCE;45.119893;4.821747;Géocodé au centre de la commune;3631;45.119893, 4.821747
04545A;GRIGNAN BP;Bureau de Poste;;2 RUE DE L HOPITAL;;;26230;GRIGNAN;26146;FRANCE;44.420471;4.909805;Géocodé au numéro;3631;44.420471, 4.909805
04561A;MARSANNE AP;Agence postale communale;04495A;RUE ALBIN DAVIN;;;26740;MARSANNE;26176;FRANCE;44.643493;4.873397;Géocodé au centre de la commune;3631;44.643493, 4.873397
04567A;MOLLANS SUR OUVEZE AP;Agence postale communale;04583A;RUE PORTE MAJOR;;;26170;MOLLANS SUR OUVEZE;26188;FRANCE;44.238197;5.189466;Géocodé au milieu de la rue;3631;44.238197, 5.189466
04577A;MONTSEGUR SUR LAUZON RP;Relais poste commerçant;04587A;PLACE FREDERIC MISTRAL;ALIMENTATION PRESSE TABAC;;26130;MONTSEGUR SUR LAUZON;26211;FRANCE;44.361148;4.860068;Géocodé au numéro;3631;44.361148, 4.860068
04586A;PIEGROS LA CLASTRE AP;Agence postale communale;04529A;RUE DU SOLAURE;;;26400;PIEGROS LA CLASTRE;26234;FRANCE;44.699525;5.098023;Géocodé au numéro;3631;44.699525, 5.098023
04590A;PONT DE BARRET AP;Agence postale communale;04495A;PONT DE BARRET;RTE DE MONTELIMAR;;26160;PONT DE BARRET;26249;FRANCE;44.601095;5.010127;Géocodé au centre de la commune;3631;44.601095, 5.010127
04591A;PONT DE L ISERE BP;Bureau de Poste;;ALLEE DES TILLEULS;;;26600;PONT DE L ISERE;26250;FRANCE;45.004063;4.869596;Géocodé au numéro;3631;45.004063, 4.869596
04598A;ROMANS SUR ISERE;Bureau de Poste;;13 RUE DU CAPITAINE BOZAMBO;;;26100;ROMANS SUR ISERE;26281;FRANCE;45.044897;5.051652;Géocodé au numéro;3631;45.044897, 5.051652
04601A;SAINT AGNAN EN VERCORS AP;Agence postale communale;04500A;LE VILLAGE;;;26420;ST AGNAN EN VERCORS;26290;FRANCE;44.93558;5.430437;Géocodé au numéro;3631;44.93558, 5.430437
04605A;SAINT DONAT SUR L HERBASSE;Bureau de Poste;;CLOS BAUDOIN;;;26260;ST DONAT SUR L HERBASSE;26301;FRANCE;45.123093;4.986128;Géocodé au centre de la commune;3631;45.123093, 4.986128
04612A;SAINT MARCEL LES VALENCE BP;Bureau de Poste;;AVENUE DE PROVENCE;;;26320;ST MARCEL LES VALENCE;26313;FRANCE;44.969916;4.954041;Géocodé au numéro;3631;44.969916, 4.954041
04613A;SAINT MAURICE SUR EYGUES BP;Bureau de Poste;;PLACE DE L EGLISE;;;26110;ST MAURICE SUR EYGUES;26317;FRANCE;44.298494;5.009788;Géocodé au centre de la commune;3631;44.298494, 5.009788
06495A;FOUGERES;Bureau de Poste;;12 AVENUE DU GENERAL DE GAULLE;;;35300;FOUGERES;35115;FRANCE;48.352593;-1.199281;Géocodé au numéro;3631;48.352593, -1.199281
06499A;GENNES SUR SEICHE AP;Agence postale communale;06653A;28 RUE JEAN DE GENNES;;;35370;GENNES SUR SEICHE;35119;FRANCE;47.991092;-1.125487;Géocodé au milieu de la rue;3631;47.991092, -1.125487
06503A;GOVEN BP;Bureau de Poste;;5 PLACE DE L EGLISE;;;35580;GOVEN;35123;FRANCE;48.006587;-1.847765;Géocodé au numéro;3631;48.006587, -1.847765
06513A;IFFENDIC BP;Bureau de Poste;;1 RUE DE LA POSTE;;;35750;IFFENDIC;35133;FRANCE;48.129743;-2.034579;Géocodé au numéro;3631;48.129743, -2.034579
06516A;LAILLE BP;Bureau de Poste;;5 RUE DE LA HALTE;;;35890;LAILLE;35139;FRANCE;47.97894;-1.722034;Géocodé au numéro;3631;47.97894, -1.722034
06519A;LANGON BP;Bureau de Poste;;37 GRANDE RUE;;;35660;LANGON;35145;FRANCE;47.721458;-1.849453;Géocodé au numéro;3631;47.721458, -1.849453
